"digits","digits 2","digits 3","digits 4","backToTopVisible href 2","product-image src","title","price","badge","badge 2","price 2"
"00","00","17","59","https://www.hepsiburada.com/hp-250-g9-6q8m6es-intel-core-i5-1235u-8-gb-512-gb-ssd-2-gb-mx550-freedos-15-6-fhd-tasinabilir-bilgisayar-p-HBCV00002VZFCQ?magaza=BAKTEKNOLOJ%C4%B0MARKET","https://productimages.hepsiburada.net/s/303/135/110000294926948.jpg","HP 250 G9 6Q8M6ES Intel Core i5 1235U 8 GB 512 GB SSD 2 GB MX550 Freedos 15.6"" FHD Taşınabilir Bilgisayar","13.400,00 TL","","",""
"00","00","17","59","https://www.hepsiburada.com/hp-250-g9-intel-core-i5-1235u-8gb-256gb-ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-6q8n9es-p-HBCV00002WM5HI?magaza=nidaelektronik","https://productimages.hepsiburada.net/s/282/135/110000269967012.jpg","Hp 250 G9 Intel Core I5 1235U 8gb 256GB SSD Freedos 15.6"" Fhd Taşınabilir Bilgisayar 6Q8N9ES","11.449,00 TL","","",""
"01","05","59","59","https://www.hepsiburada.com/monster-abra-a5-v19-1-intel-core-i5-12500h-8gb-ram-500gb-ssd-4gb-gtx1650-freedos-15-6-fhd-144hz-oyun-bilgisayari-p-HBCV00002RJF15?magaza=Monster%20Notebook","https://productimages.hepsiburada.net/s/267/135/110000252779299.jpg","Monster Abra A5 V19.1 Intel Core i5-12500H 8GB RAM 500GB SSD 4GB GTX1650 FreeDOS 15,6"" FHD 144Hz Oyun Bilgisayarı","16.899,00 TL","","",""
"01","05","59","59","https://www.hepsiburada.com/monster-abra-a5-v19-1-1-intel-core-i5-12500h-8gb-ram-500gb-ssd-4gb-gtx1650-windows-11-15-6-fhd-144hz-oyun-bilgisayari-p-HBCV00002RJF17?magaza=Monster%20Notebook","https://productimages.hepsiburada.net/s/267/135/110000252781204.jpg","Monster Abra A5 V19.1.1 Intel Core i5-12500H 8GB RAM 500GB SSD 4GB GTX1650 Windows 11 15,6"" FHD 144Hz Oyun Bilgisayarı","17.899,00 TL","","",""
"01","05","59","59","https://www.hepsiburada.com/monster-abra-a5-v19-2-5-intel-core-i5-12500h-16gb-ram-500gb-ssd-4gb-rtx3050ti-freedos-15-6-fhd-144hz-oyun-bilgisayari-p-HBCV00002RJF1J?magaza=Monster%20Notebook","https://productimages.hepsiburada.net/s/267/135/110000252781234.jpg","Monster Abra A5 V19.2.5 Intel Core i5-12500H 16GB RAM 500GB SSD 4GB RTX3050Ti FreeDOS 15,6"" FHD 144Hz Oyun Bilgisayarı","18.999,00 TL","","",""
"01","05","59","59","https://www.hepsiburada.com/monster-abra-a7-v14-1-5-intel-core-i5-12500h-16gb-ram-500gb-ssd-4gb-gtx1650-freedos-17-3-fhd-144hz-oyun-bilgisayari-p-HBCV00002RJF23?magaza=Monster%20Notebook","https://productimages.hepsiburada.net/s/267/135/110000252781334.jpg","Monster Abra A7 V14.1.5 Intel Core i5-12500H 16GB RAM 500GB SSD 4GB GTX1650 FreeDOS 17,3"" FHD 144Hz Oyun Bilgisayarı","18.499,00 TL","","",""
"01","06","03","59","https://www.hepsiburada.com/monster-abra-a5-v17-2-3-intel-core-i5-11400h-16gb-ram-500gb-ssd-4gb-rtx3050ti-freedos-15-6-fhd-144hz-oyun-bilgisayari-p-HBCV00000IIGSD?magaza=Monster%20Notebook","https://productimages.hepsiburada.net/s/274/135/110000260906928.jpg","Monster Abra A5 V17.2.3 Intel Core i5-11400H 16GB RAM 500GB SSD 4GB RTX3050Ti FreeDOS 15.6"" FHD 144Hz Oyun Bilgisayarı","17.999,00 TL","","",""
"02","05","58","59","https://www.hepsiburada.com/monster-tulpar-t7-v20-5-intel-core-i7-12700h-16gb-ram-500gb-ssd-6gb-rtx3060-freedos-17-3-fhd-144hz-oyun-bilgisayari-p-HBCV00002RJF2T?magaza=Monster%20Notebook","https://productimages.hepsiburada.net/s/267/135/110000252781399.jpg","Monster Tulpar T7 V20.5 Intel Core i7-12700H 16GB RAM 500GB SSD 6GB RTX3060 FreeDOS 17,3"" FHD 144Hz Oyun Bilgisayarı","27.999,00 TL","","",""
"04","05","59","59","https://www.hepsiburada.com/lenovo-v14-itl-gen2-intel-core-i5-1135g7-8gb-512gb-ssd-windows-10-home-14-fhd-tasinabilir-bilgisayar-82ka0027tx-p-HBCV00000QK2IA?magaza=GarajOnline","https://productimages.hepsiburada.net/s/268/135/110000253796405.jpg","Lenovo V14 ITL Gen2 Intel Core i5 1135G7 8GB 512GB SSD Windows 10 Home 14"" FHD Taşınabilir Bilgisayar 82KA0027TX","10.960,33 TL","%","2","10.699,00 TL"
"07","17","59","59","https://www.hepsiburada.com/asus-i7-1165g7-16gb-1tb-13-3-freedos-tasinabilir-bilgisayar-ux325ea-kg771-p-HBCV00002Q7NA2?magaza=Bisistem","https://productimages.hepsiburada.net/s/264/135/110000248188454.jpg","Asus I7-1165G7 16GB 1TB 13.3"" Freedos Taşınabilir Bilgisayar UX325EA-KG771","23.999,00 TL","%","21","18.999,00 TL"
